No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
721. Núi Cánh Diều, Thanh Bình - Tp Ninh Bình, N/A, N/A, Ngọn núi có hình cô gái tóc xõa mình trần nằm giữa thanh thiên trời đất. Bên núi có chùa Cánh Diều và đền thờ thần Thiên Tôn trấn đông Hoa Lư tứ trấn
722. Chùa A Nậu, Ninh Khánh - Tp Ninh Bình, N/A, N/A, Một trong những ngôi chùa cổ thời Trần do Trần Thái Tông xây dựng khi về Ninh Bình lập hành cung Vũ Lâm trong kháng chiến Nguyên Mông
723. Chùa Đẩu Long, Tân Thành - Tp Ninh Bình, N/A, N/A, Chùa Đẩu Long là ngôi chùa cổ, có lịch sử hình thành từ thời Đinh - Lê thế kỷ X. Chùa là di tích lịch sử văn hóa quốc gia, thờ 9 vị thần của các làng xung quanh.
724. Động Thiên Tôn, Thiên Tôn - Hoa Lư, N/A, N/A, Động chùa Thiên Tôn là di tích thờ thần Thiên Tôn, là vị thiên thần trấn ngự ở cửa ngõ phía đông vào thành Đông của khu di tích cố đô Hoa Lư.
725. Chùa Trung Trữ, Ninh Giang - Hoa Lư, N/A, N/A, Chùa Trung Trữ là di tích cấp quốc gia từ năm 1990. Chùa cùng khu vực với đình Trung Trữ thờ các vị vua và hoàng hậu triều đại nhà Đinh và Tiền Lê.
726. Đền Cả La Mai, Ninh Giang - Hoa Lư, N/A, N/A, Đền Cả La Mai được xếp hạng di tích lịch sử quốc gia năm 1994; làng La Mai ở ven sông Đáy, thờ Thánh Quý Minh - vị thần trấn Nam Hoa Lư tứ trấn
727. Chùa Phong Phú, Ninh Giang - Hoa Lư, N/A, N/A, Chùa Phong Phú có từ thời Đinh Tiên Hoàng (thế kỷ X), thờ thần Trấn Vũ Thiên Tôn. Người xưa đa khéo lợi dụng hang động trong ruột núi để làm chùa.
728. Đền Đông Hội, Ninh An - Hoa Lư, N/A, N/A, Đền Đông Hội là một trong các di tích có sớm nhất Ninh Bình, từ thời Hai Bà Trưng gọi là Chùa Thanh Xuân. Đền thờ ba anh em, là Đống Bụt, Diệu Vũ và Ngọc nữ Trần Hoa.
729. Nhà thờ họ Đào, Ninh An - Hoa Lư, N/A, N/A, Nhà thờ họ Đào ở Hoa Lư là nhà thờ họ duy nhất tại tỉnh Ninh Bình được công nhận là di tích cấp quốc gia. Nhà thờ nằm trên một khu đất cao, rộng quay hướng chính đông.
730. Đền Kê Thượng, Kê Hạ, Miếu Sơn, Ninh Vân - Hoa Lư, N/A, N/A, Đền Kê Thượng thờ vọng Hùng Vương và Tản Viên. Đền Kê Hạ thờ Nguyệt Nga Công Chúa. Đền Miễu Sơn thờ Tản Viên, Cao Sơn, Quý Minh.
731. Chùa và động Bàn Long, Ninh Xuân - Hoa Lư, N/A, N/A, Chùa Bàn Long là chùa thiên tạo và nhân tạo, lấy động núi và con người làm chùa. Khi chúa Trịnh Sâm đã đến thăm, tay đề ba chữ lớn: “Bàn Long Tự” trên vách cửa động.
732. Chùa và động Hoa Sơn, Ninh Hòa - Hoa Lư, N/A, N/A, Tương truyền rằng động Hoa Sơn là nơi nuôi Ấu chúa thời vua Đinh. Trước đây động có tên là chùa Bà Đẻ, sau này khi vua Tự Đức đến thăm đổi tên động thành Hoa Sơn.
733. Đình Ngô Khê Hạ, Ninh Hòa - Hoa Lư, N/A, N/A, Đình Ngô Khê Hạ là một ngôi đình kiến trúc cổ, trong đình có tượng Định Quốc công Nguyễn Bặc và hơn 10 đạo sắc phong của các triều đại là những di vật lịch sử quý báu.
734. Đền Thánh Nguyễn, Gia Tiến, Gia Thắng - Gia Viễn, N/A, N/A, Là di tích kiến trúc nghệ thuật quốc gia có giá trị đặc biệt ở Ninh Bình. Đền thờ thánh Nguyễn Minh Không trên quê hương ông.
735. Chùa và động Địch Lộng, Gia Thanh - Gia Viễn, N/A, N/A, Động Địch Lộng được mệnh danh là "Nam thiên đệ tam động". Động gồm quần thể hang động, núi, kiến trúc đình, chùa thờ Phật và quốc sư Nguyễn Minh Không.
736. Đền thờ Đinh Bộ Lĩnh, Gia Phương - Gia Viễn, N/A, N/A, Đền Văn Bòng là di tích thờ Vua Đinh Tiên Hoàng trên quê hương của ông. Đền cùng với khu di tích lăng Phát tích trên núi Kỳ Lân trở thành điểm du lịch về nguồn.
737. Động Hoa Lư, Gia Hưng - Gia Viễn, N/A, N/A, Động Hoa Lư là căn cứ ban đầu của Đinh Bộ Lĩnh trong quá trình gây dựng, chiêu binh để dẹp loạn 12 sứ quân. Động nằm trong quần thể đầm Cút, đầm Vân Long.
738. Đình Trùng Hạ, Gia Tân - Gia Viễn, N/A, N/A, Đình Trùng Hạ là di tích kiến trúc nghệ thuật thờ 5 vị: Đông Hải đại vương, Sóc Giang đại vương, Trang Hiền đại vương, Hưng Đạo đại vương và Quốc Mẫu.
739. Đình Trùng Thượng, Gia Tân - Gia Viễn, N/A, N/A, Đình Trùng Thượng là di tích kiến trúc nghệ thuật độc đáo. Đình thờ Tô Hiến Thành, Trần Quốc Tảng và Đông Hải Đại Vương.
740. Đình Vân Thị, Gia Tân - Gia Viễn, N/A, N/A, Đình làng Vân Thị thờ Thái sư phụ chính Tô Hiến Thành được xây dựng năm 1699 - năm chính tòa thứ 20. Đến nay đã hơn 300 năm tuổi.
741. Chùa Lỗi Sơn, Gia Phong - Gia Viễn, N/A, N/A, Chùa Lỗi Sơn nằm trong chiến khu Quỳnh Lưu, chùa thờ Phật, còn thờ thêm Hai Bà Trưng và ba bài vị thờ 3 dũng tướng thời vua Hùng là Cao Sơn, Quý Minh và Tản Viên.
742. Chùa Lạc Khoái, Gia Lạc - Gia Viễn, N/A, N/A, Chùa Hạ xây dựng năm 1859, trước chùa Thượng 10 năm. Chùa Hạ thờ Phật và Tam vị Thánh Mẫu; chùa Thượng thờ Phật và Quan Âm Thị Kính.
743. Nhà thờ và mộ Nguyễn Bặc, Gia Phương - Gia Viễn, N/A, N/A, Lịch sử Quốc gia Nhà thờ họ Nguyễn Việt Nam. Nơi thờ thái thủy tổ Nguyễn Bặc, được xem là thủy tổ của họ Nguyễn chính tông ở Việt Nam.
744. Nhà thờ Đinh Huy Đạo, Gia Phong - Gia Viễn, N/A, N/A, Nhà thờ Đinh Huy Đạo, một danh tướng thời Tây Sơn đối với cuộc chiến chống quân Thanh. Ông còn để lại cho đời nhiều bài văn, tác phẩm văn học có giá trị.
745. Khu vực núi Kiếm Lĩnh, Gia Tiến - Gia Viễn, N/A, N/A, Núi Cắm Gươm liên quan đến truyền thuyết chú của Đinh Bộ Lĩnh là Đinh Thúc Dự cắm kiếm xuống đất để lậy khi thấy Rồng vàng đưa cháu mình qua sông Hoàng Long.
746. Chiến khu Quỳnh Lưu, Nho Quan và Gia Viễn, N/A, N/A, Chiến khu Quỳnh Lưu trải rộng trên 7 xã, là căn cứ cách mạng thời ký kháng chiến chống Pháp và Nhật đồng thời được xem là quê hương cách mạng của Ninh Bình.
747. Dốc Giang, Phú Long - Nho Quan, N/A, N/A, Dốc Giang là di tích cách mạng nằm trên đường Quốc lộ 45 từ Rịa đi Sòng Cạn. Chiến thắng Dốc Giang năm 1953 đã tiêu diệt và bắt sống gần 200 tên Pháp.
748. Thung Lóng, Phú Long - Nho Quan, N/A, N/A, Tháng 6/1945 Thung Lóng được Xứ ủy Bắc Kỳ chọn làm điểm tổ chức nhiều cuộc họp bàn quan trọng và mở lớp huấn luyện cho các cán bộ và nhân dân địa phương.
749. Khu Trũng, Đồng Báng, Sơn Lai - Nho Quan, N/A, N/A, Khu Trũng, Đồng Báng thuộc xã Sơn Lai, là điểm di tích cách mạng thuộc khu căn cứ cách mạng Quỳnh Lưu, tỉnh Ninh Bình.
750. Đền Sầy, Sơn Thành - Nho Quan, N/A, N/A, Đền Sầy thờ Ngọc Quang Công Chúa tên húy là Vương Thị Tiên, một trong những nữ tướng thời Hai Bà Trưng.
751. Đình Mỹ Hạ, Gia Thủy - Nho Quan, N/A, N/A, Đình Mỹ Hạ là di tích lịch sử văn hóa trên quê hương của Thái hậu Dương Vân Nga và quê ngoại Vua Đinh Tiên Hoàng. Đình thờ Vua Đinh và Thái hậu Dương Vân Nga.
752. Đình Ác, Sơn Thành - Nho Quan, N/A, N/A, Đình làng Ác thờ Thủy Tinh Công chúa. Đình được xây dựng từ thời vua Trần. Lúc đầu đình được gọi là Hồng Kiều, sau gọi là đền Cầu Vồng, nay gọi là đình Làng Ác.
753. Phòng tuyến Tam Điệp, Đông Sơn và Nam Sơn, TĐ, N/A, N/A, Là Phòng tuyến kháng chiến thời Tây Sơn, nơi Vua Quang Trung tập hợp quân trước khi tiến ra Thăng Long làm lên chiến thắng Ngọc Hồi - Đống Đa.
754. Đền Năn, Yên Thắng - Yên Mô, N/A, N/A, Ngôi đền cổ này thờ 5 vị thần thời Hùng Vương thứ 6 trấn thủ vùng Nam Lĩnh là: Chàng Hoàng, Quý Nương, Chàng Cả, Chàng Hai, Chàng Ba.
755. Đền Bình Hải, Yên Nhân - Yên Mô, N/A, N/A, Thờ Linh Công - Vị tướng thời Hùng Vương được phong Đại Hải Long Hầu hiển hách Đại Vương Thượng Đẳng Thần.
756. Nhà thờ Vũ Phạm Khải, đền họ Vũ, Yên Mạc - Yên Mô, N/A, N/A, Thờ vị quan dưới 3 triều Minh Mệnh, Thiệu Trị, Tự Đức, tích cực nhất trong phái chủ chiến chống Pháp. Ông còn là một nhà thơ nổi tiếng đương thời.
757. Đền thờ Ninh Tốn, Yên Mỹ - Yên Mô, N/A, N/A, Thờ danh nhân văn hóa Ninh Tốn, một nhà thơ, nhà viết Sử, nhà biên soạn luật, nhà chính trị và nhà quân sự
758. Đền, chùa Khương Dụ, Yên Phong - Yên Mô, N/A, N/A, Đền, chùa Khương Dụ là cụm công trình di tích có giá trị kiến trúc và nghệ thuật
759. Đền Quảng Phúc, Yên Phong - Yên Mô, N/A, N/A, Thờ tam vị Ngọ Đại Vương – 3 vị tướng thời Hùng Vương thứ 18, có công dẹp cướp biển ở cửa biển Thần Phù, dẹp cướp rừng ở vùng núi Tam Điệp.
760. Đền La, Yên Thành - Yên Mô, N/A, N/A, Đền La nằm trên vị trí kinh đô Mô Đô xưa, nơi nhà Hậu Trần ra đời dưới sự bảo trợ của danh tướng quê hương Yên Mô là Trần Triệu Cơ.
761. Chùa Tháp, Khánh Thịnh - Yên Mô, N/A, N/A, Chùa Tháp là nơi có xá lỵ của tướng quân Đinh Điền thời Đinh cùng ngôi đền thờ ông và phu nhân cùng Kiều Mộc thiền sư Lương Tuấn - người theo giúp Đinh Điền.
762. Đình Phù Sa, Yên Lâm - Yên Mô, N/A, N/A, Đình Phù Sa nằm trong khu vực cửa biển Thần Phù, Đình là nơi thờ Triệu Việt Vương, người đã mất tại khu vực cửa biển Đại Ác này.
763. Đền Trung Lận Khê, Khánh Thượng - Yên Mô, N/A, N/A, Đền Trung Lận Khê là công trình di tích có giá trị kiến trúc, nghệ thuật
764. Đền thờ Thái phó Lê Niệm, Yên Mạc - Yên Mô, N/A, N/A, Lê Niệm cháu của Lê Lai, làm quan đời Lê Thái Tông. Khi đóng quân ở làng Thiên trì, ông đã chỉ huy đắp đê Hồng Đức và được cấp 200 mấu ruộng ở làng Thiên Trì.
765. Nhà thờ và mộ Vũ Duy Thanh, Khánh Hải - Yên Khánh, N/A, N/A, Nơi thờ Trạng Bồng Vũ Duy Thanh trên quê hương. Vũ Duy Thanh là vị thủ khoa thời Nguyễn tương đương Trạng nguyên xưa, ông được người dân tôn vinh là Trạng Bồng.
766. Đền Văn Giáp, Khánh An - Yên Khánh, N/A, N/A, Thờ vị lưỡng quốc Trạng nguyên Mạc Đĩnh Chi thời nhà Trần cùng 3 vị tể tướng và 18 vị quận công, các danh nhân họ Tạ.
767. Đền Thượng, chùa Phúc Long, Khánh Phú - Yên Khánh, N/A, N/A, Chùa Phúc Long thờ phật và thờ Tiên thiên Thánh Mẫu, mẹ của Giác Hải thiền sư. Đền Thượng thờ tam thánh: Giác Hải, Từ Đạo Hạnh và Nguyễn Minh Không.
768. Đình thôn Đỗ, Khánh Nhạc - Yên Khánh, N/A, N/A, Đình thôn Đỗ là di tích kiến trúc nghệ thuật tiêu biểu
769. Đền chùa thôn Năm, Khánh Tiên - Yên Khánh, N/A, N/A, Đền chùa thôn Năm là cụm di tích kiến trúc nghệ thuật tiêu biểu
770. Chùa Dầu, Khánh Hòa - Yên Khánh, N/A, N/A, Chùa Dầu có từ thời Lý Thái Tông nhưng hiện có nhiều dấu tích của triều đại nhà Trần khi các Vua đời đầu đã về xây dựng hành cũng Vũ Lâm.
771. Đền Kiến Ốc, Khánh Trung - Yên Khánh, N/A, N/A, Thờ Phạm Tử Nghi là tướng thời nhà Mạc, ông còn được thờ ở Đền Hải Đức trên bờ đê sông Đáy thuộc xã Khánh Thiện, huyện Yên Khánh.
772. Đền Tiên Viên, chùa Kim Rong, Khánh Lợi - Yên Khánh, N/A, N/A, Thờ Phùng Kim và Triệu Việt Vương - những danh nhân lịch sử từ thế kỷ V. Đây là một trong những di tích lịch sử văn hóa cổ nhất ở Ninh Bình.
773. Chùa Phúc Nhạc, Khánh Nhạc - Yên Khánh, N/A, N/A, Chùa “Già Lê Tự” hơn 400 năm tuổi còn là bản doanh của Nguyễn Công Trứ khi chiêu mộ nhân dân quanh vùng, khẩn hoang lấn biển thành lập huyện Kim Sơn năm 1829.
774. Đền Tam Thánh, chùa Yên Lữ, Khánh An - Yên Khánh, N/A, N/A, Đền Tam Thánh thờ Đinh Điền, Kiều Mộc thiền sư Lương Tuấn và Thượng Trân Trưởng công chúa là những danh nhân thời Đinh. Chùa Yên Lữ được xây dựng từ năm 1019.
775. Đền thờ Nguyễn Công Trứ, Quang Thiện - Kim Sơn, N/A, N/A, Đền thờ Nguyễn Công Trứ nằm tại trung tâm vùng đất Kim Sơn xưa, nơi ông chiêu dân khai khẩn bãi hoang ven biển để lập ra huyện này từ năm 1829
776. Nhà thờ đá Phát Diệm, Lưu Phương - Kim Sơn, N/A, N/A, Quần thể kiến trúc nhà thờ Phát Diệm với những công trình kiến trúc độc đáo, là trung tâm của giáo phận, nơi được mệnh danh là kinh đô công giáo của Việt Nam.
777. Đình Thượng Kiệm, Thượng Kiệm - Kim Sơn, N/A, N/A, Đình Thượng Kiệm là nơi thờ Triệu Việt Vương. Đình nằm gần kiến trúc nhà thờ Phát Diệm.
778. Đền Chất Thành, Chất Bình - Kim Sơn, N/A, N/A, Đền Chất Thành là di tích lịch sử văn hóa quốc gia. Đền thờ Triệu Việt Vương trên vị trí gần cửa biển Đại Ác khi xưa ông đã mất.
779. Miếu, chùa Lạc Thiện, Quang Thiện - Kim Sơn, N/A, N/A, Miếu, chùa Lạc Thiện là cụm di tích kiến trúc nghệ thuật có giá trị tiêu biểu[11]
780. Đền Như Độ, Như Hòa - Kim Sơn, N/A, N/A, Thờ quan Thái bảo Trần Nguyên Hãn là hậu duệ nhà Trần, có công đánh giặc Nguyên Mông, thờ cụ Doãn Dư cùng các vị có công khai hoang lấn biển lập nên Ấp Như Độ.[11]
781. Khu di tích Phố Hiến, Tp. Hưng Yên, Lịch sử văn hóa đặc biệt, 2014, số 2408/QĐ-TTg
782. Văn miếu Xích Đằng, Lam Sơn- Tp. Hưng Yên, Lịch sử văn hóa đặc biệt, 1992, KDT Phố Hiến
783. Chùa Thái Lạc, Văn Lâm, Kiến trúc nghệ thuật đăc biệt, 2018, N/A
784. Đền Mây, Lam Sơn- Tp. Hưng Yên, Lịch sử văn hóa, 1992, N/A
785. Đền Kim Đằng, Lam Sơn- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
786. Chùa Chuông (Kim Chung tự), Hiến Nam-Tp. Hưng Yên, Lịch sử văn hóa, 1992, N/A
787. Khu lưu niệm Tổng Bí thư Nguyễn Văn Linh, Giai Phạm- Yên Mỹ, Lịch sử, 2017, N/A
788. Đình An Vũ, Hiến Nam- Tp. Hưng Yên, Lịch sử văn hóa, 1999, đặc biệt 2014
789. Đền Nam Hoà, Hiến Nam- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
790. Đền Trần, Quang Trung- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
791. Đền Mẫu (Hoa Dương Linh từ), Quang trung- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
792. Chùa Phố, Quang Trung- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
793. Đền Thiên Hậu (Thiên Hậu cung), Quang Trung- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
794. Võ Miếu, Quang Trung- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
795. Đền Bà Chúa Kho (Hưng Yên) Đền Gốc Sanh (Thương Tỉnh linh), Quang Trung- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
796. Đền Cửu Thiên Huyền Nữ (Đền Bắc Hòa), Lê Lợi- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
797. Đông Đô Quảng Hội - Thiên Hậu cung, Hồng Châu- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
798. Đình, chùa Hiến, Hồng Châu- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
799. Chùa Nễ Châu (Thụy Ứng tự), Hồng Nam- Tp. Hưng Yên, Lịch sử văn hóa, 2014, N/A
800. Đình Đào Xá, Vĩnh Xá- Kim Động, Văn hóa kiến trúc, 7/1/2020, 48/QĐ-BVHTTDL
801. Đình, Miếu Tráng Vũ, Đồng Than- Yên Mỹ, Văn hóa kiến trúc, 7/1/2020, 49/QĐ-BVHTTDL
802. Làng Nôm, Đại Đồng- Văn Lâm, Văn hóa kiến trúc, 7/1/2020, 50/QĐ-BVHTTDL
803. Đình Thịnh Châu Hạ, Châu Sơn- Phủ Lý, Kiến trúc nghệ thuật, 12/02/1999, N/A
804. Đình An Bài, Đồng Du- Bình Lục, Kiến trúc nghệ thuật, 01/02/2000, N/A
805. Đình An Dương, Mỹ Thọ- Bình Lục, Kiến trúc nghệ thuật, 28/7/2000, N/A
806. Đình Bùi, Trịnh Xá- Bình Lục, Kiến trúc nghệ thuật, 28/12/2001, N/A
807. Đình Cả, Vũ Bản- Bình Lục, Lịch sử kiến trúc nghệ thuật, 29/3/2012, N/A
808. Đình Chiềng, Đinh Xá- Bình Lục, Kiến trúc nghệ thuật, 30/12/2002, N/A
809. Đình Công Đồng, An Mỹ- Bình Lục, Lịch sử, 02/3/1990, N/A
810. Đình Đinh, Đinh Xá- Bình Lục, Kiến trúc nghệ thuật, 12/02/1999, N/A
811. Đình Mai Động, Trung Lương- Bình Lục, Lịch sử nghệ thuật, 20/7/1994, N/A
812. Đình Mỹ Đôi, An Mỹ- Bình Lục, Lịch sử, 24/01/1998, N/A
813. Đình Nam, Vũ Bản- Bình Lục, Kiến trúc nghệ thuật, 11/5/2010, N/A
814. Đình Tái Kênh, Đinh Xá- Bình Lục, Kiến trúc nghệ thuật, 26/01/2006, N/A
815. Đình Thanh Nghĩa, Đồn Xá- Bình Lục, Kiến trúc nghệ thuật, 22/01/2009, N/A
816. Đình Tiên Lý, Đồn Xá- Bình Lục, Kiến trúc nghệ thuật, 18/3/2001, N/A
817. Đình Triều Hội, Bồ Đề- Bình Lục, Lịch sử, 18/01/1988, N/A
818. Đình Văn Phú, Mỹ Thọ- Bình Lục, Kiến trúc nghệ thuật, 16/01/1995, N/A
819. Đình Vị Hạ, Trung Lương- Bình Lục, Kiến trúc nghệ thuật, 20/12/1997, N/A
820. Đình Vị Thượng, Trung Lương- Bình Lục, Kiến trúc nghệ thuật, 22/01/2009, N/A
821. Đình Yên Đổ, An Đổ- Bình Lục, Kiến trúc nghệ thuật, 18/6/1997, N/A
822. Đình, chùa Cổ Viễn, Hưng Công- Bình Lục, Lịch sử kiến trúc nghệ thuật, 25/01/1994, N/A
823. Đình, chùa Đạo Truyền, Đồn Xá- Bình Lục, Lịch sử nghệ thuật, 02/8/1999, N/A
824. Đình, chùa Đồng Du Trung, Đồng Du- Bình Lục, Kiến trúc nghệ thuật, 15/12/2004, N/A
825. Đình, chùa Ngọc Lũ, Ngọc Lũ- Bình Lục, Kiến trúc nghệ thuật, 26/01/2006, N/A
826. Từ đường Lương Quận Công Trần Như Lân, Ngọc Lũ- Bình Lục, Lịch sử, 16/01/1995, N/A
827. Từ đường Nguyễn Khuyến, Trung Lương- Bình Lục, Lịch sử, 30/12/1991, N/A
828. Chùa Bạch Liên, Trác Văn- Duy Tiên, Kiến trúc nghệ thuật, 09/4/1992, N/A
829. Chùa Đọi Sơn, Đọi Sơn- Duy Tiên, Lịch sử kiến trúc nghệ thuật, 1992 2017, đặc biệt 2082/QĐ-TTg
830. Chùa Khánh Long, Châu Giang- Duy Tiên, Kiến trúc nghệ thuật, 18/01/1993, N/A
831. Đền Lảnh Giang, Mộc Nam- Duy Tiên, Kiến trúc nghệ thuật, 05/11/1996, N/A
832. Đền Yên Từ, Mộc Bắc- Duy Tiên, Kiến trúc nghệ thuật, 01/02/2000, N/A
833. Đình Đá An Mông, Tiên Phong- Duy Tiên, Lịch sử kiến trúc nghệ thuật, 20/7/1994, N/A
834. Đình Khả Duy, Mộc Bắc- Duy Tiên, Lịch sử, 24/3/1993, N/A
835. Đình Lê Xá, Châu Sơn- Duy Tiên, Kiến trúc nghệ thuật, 15/12/2004, N/A
836. Đình Lũng Xuyên, Yên Bắc- Duy Tiên, Lịch sử, 18/01/1988, N/A
